"","text","age","gender"
"18","FAO da agroekolojinin gerek iklim değişikliği gerek sürdürülebilir gıda, gerek çevre ve biyoçeşitliliğin korunması ve gerek sağlık açısından önemli olduğunu kabul ediyor.

https://t.co/buV37SLBdf

https://t.co/lZwHiPESt4 https://t.co/nUoG0EJpr7",">=40","male"
"19","@Keremcanciloglu @Ykcezayirli @silabenmrb @AyaktaAlkis Tüm dünya İşveç seviyesinde mi yaşıyor?. Gelir adaletsizliği, iklim değişikliği, gıda güvenliği, teknoloji şirketlerinin tekelleşmesi, veri güvenliği, sağlığa erişim, sağlıklı işleyen bir sosyal güvenlik sistemi, vs. vs. tüm dünyanın sorunu.

Diğer ülkeler ile aynı gezegendeyiz.",">=40","male"
"20","İklim değişikliğinin sağlığa etkilerinden bahseden BTO Yönetim Kurulu Başkanı Doç. Dr. Alpaslan Türkkan, yaşanabilecek tehlikeleri anlattı. Türkkan, iklim değişikliği ve sağlık konularına Türkiye’de hak ettiği düzeyde önem verilmemesinden yakındı.

https://t.co/stpq4ZGzvS",">=40","male"
"21","Tek Sağlık Bakış Açısıyla İklim Değişikliği ve COVID-19 Pandemisi https://t.co/AtPAto8oAM",">=40","male"
"22","Çevre, İklim ve Sağlık için İşbirliği Projesi tarafından hazırlanan bilgi notunda iklim krizinin 2030-2050 yıllarında her yıl 250 bin ölüme neden olacağı belirtildi.

Ayrıntılar: https://t.co/Aeh20ZldiP

#yeşilgazete #iklimkrizi https://t.co/96gC7GIkU0",">=40","male"
"23","Sorunlara yapay gündemlerle çözüm bulamayız. 
✷Açlık, kuraklık, iklim değişikliği, sağlıksız tarım gibi önemli sorunları konuşan ve bunlara çözüm sunan siyasetçilere ihtiyacımız var!","19-29","male"
"24","BM Genel Kurulu kararıyla 2021, ""Uluslararası Meyve ve Sebze Yılı"" ilan edildi.
Hem Covid-19 hem de küresel iklim değişikliği ile mücadele etmeye devam ettiğimiz bu yılda, doğru tarıma ve sağlıklı gıda tüketimine önem vermeliyiz. https://t.co/f3AS0vmheP",">=40","male"
"25","#Psikoloji'nin iklim değişikliği / iklim mühendisliği gibi konularda çok önemli bir rolü olacağı sıklıkla gündeme geliyor. Önleyici uygulamalarla ilgili kararların alınması, davranış değişiklikleri, olası bir iklim değişikliğinde, psikolojik sağlık ve uyum temel konular. https://t.co/gGM6SsYYrj","<=18","male"
"26","“Çevre, İklim ve Sağlık için İşbirliği Projesi” (ÇİSİP) Türkiye’de İlk defa Tek Sağlık yaklaşımıyla COVID-19 pandemisi ve iklim değişikliği ilişkisini inceleyen bilgi notunu duyurdu. https://t.co/KScXjDuXBR",">=40","male"
"27","@abdkadiraykut @FatihEBahadir Hocam Türkiye'de iklim değişikliği, susuzluk, yenilenebilir enerji kaynakları, gıda terörü, dünya ötesi yaşam, önleyici sağlık sistemleri vs tartışılmıyor.

Komplo ve gerçeklik çizgisini de bu yüzden yitiriyoruz. Ayarsızız😃",">=40","male"
"28","@YelizzKoray @drfahrettinkoca Aslinda esnafın biraz yüzü gülsün diye düşünüyorum.Kışlık yerler yazın zaten kapalı.Sezonları iklim değişikliği nedeniyle  kısaldı.Mesafeye dikkat ediyorlardır kendi sağlıkları için..Açık alandalar ayrıca.","30-39","female"
"29","Türkiye Davranışsal Ekonomi Sohbetleri kapsamında bu hafta dünyadan ve ülkemizden örneklerle sağlık, kalkınma, iklim değişikliği, yoksulluk gibi konuları davranışsal açıdan ele alacağız. Akşam 20.00'de tüm meraklıları bekleriz! @Clubhouse_TR @caglar_koglu  https://t.co/FS1dZvvk3k","19-29","female"
"30","","30-39","female"
"31","@MetinAKTAN_06 @ChangeTR Bununla beraber bu raporda elektrik sektöründen kaynaklı iklim değişikliğine bağlı sağlık risklerini değerlendirmemiştir. İklim değişikliği ve hava kirliliği insan sağlığını doğrudan ve dolaylı yollardan tehdit eder; hava kirliliğinin kanser riskini arttırdığı kanıtlanmıştır.+",">=40","female"
"32","@gulumselif @HAYKOCPQN Lgbt hem finanscı hem sağlıkçı hem herşey. Herşey bunlarınsa 250trilyon borcun sebebi kim? Hem bu kadar borç yaptır hem de yanlış yapmışız de,aslında değiştiremeyeceğin iklim değişikliği ayağına milletin malına çök. Bunlara kötü dememiz için daha ne yapmaları lazım?","<=18","male"
"33","Ahşap;
-Hafiftir
-Farklı iklim koşullarına dayanıklıdır
-Yapı sökülüp yeniden kurulur
-Onarım ve plan değişikliği kolaydır
-Enerji dostudur,depreme dayanıklıdır
-Çelik,beton,taş ve kerpiçle mükemmel uyum sağlar
-Ekolojik tasarım kriterleri ile uyuşur
-Sağlıklı yapı malzemesidir https://t.co/xBGExYnP2n","30-39","female"
"34","Küresel çapta kendini hissettiren iklim değişikliği bölgemizde de fırtına ve sel afetine yol açmıştır. Haftasonu tüm ekiplerimizle sahadaydık, olmaya da devam edeceğiz. 

Tüm Arsuzlu’lara  felaketten uzak sağlıklı bir hafta diliyorum. Hepimize geçmiş olsun! https://t.co/wiofMwyYYp",">=40","male"
"35","""Küresel iklim değişikliği"" söylemi de Koronavirüs gibi The Great Reset'ın bir enstrümanıdır.

Korona virüs ile sağlık sistemi ve sosyal yaşamı, küresel iklim değişikliği ile de beslenme alışkanlıklarımızı değiştirecekler.

2030'dan sonra sentetik kırmızı/beyaz ete hoş geldiniz!",">=40","male"
"36","DİDEM ERYAR ÜNLÜ - Sağlık, iklim değişikliği politikalarının önceliği olmalı https://t.co/h7YlzcEn95","<=18","male"
"37","@bernalacin35 Niye iklim değişikliği var biliyormusunuz???ben biliyorum siz de bilin,et endüstrisinin geldiği korkunç boyut ve sağlıklı toprağın yok edilmesi !!!Tarım niye yok artık çünkü yöntemler yanlış..Sürdürebilirlik çok önemli...bu yüzden herkesin sorumlu olması gerekir ...","<=18","male"
"38","🖊 DİDEM ERYAR ÜNLÜ
📌 Sağlık, iklim değişikliği politikalarının önceliği olmalı #DünyaYazar https://t.co/j6clItSjrF",">=40","male"
"39","3-ve küresel sağlık güvenliği, iklim değişikliği ve silahların yayılmasını önleme gibi ortak zorluklar hakkında görüş alışverişinde bulundu.Biden, Amerikan halkının ve müttefiklerimizin çıkarlarını geliştirirken pratik, sonuç odaklı angajmanların peşinden gitmeyi taahhüt etti.","<=18","male"
"40","“İki lider ayrıca, COVID-19 salgınına karşı mücadele ve küresel sağlık güvenliği, iklim değişikliği ve silahların yayılmasını önleme gibi ortak zorluklar hakkında görüş alışverişinde bulundu.”",">=40","male"
"41","The Lancet Geri Sayım Sağlık ve İklim Değişikliği İcra Direktörü, ""Nihayetinde uzun vadeli olan ve hasar sınırlaması açısından anlaşılan karbon azaltımının doğrudan faydalarının aksine, iddialı iklim politikalarının sağlık ortak faydaları anında olumlu bir etkiye sahiptir.""dedi.",">=40","male"
"42","Lancet Sağlık ve İklim Değişikliği üzerine çarşamba günü yapılan yeni bir araştırmaya göre ülkeler Paris Anlaşması hedeflerine ulaşmak için iklim isteklerini artırırlarsa 2040 yılına kadar milyonlarca hayat kurtarılabilir.",">=40","male"
"43","Lancet Countdown Sağlık ve İklim Değişikliği 2020 raporuna göre 101 ülkeden sadece 51’inin ulusal sağlık ve iklim değişikliği stratejisi ya da planı bulunuyor ve ancak 4’ü bu planları hayata geçirmek için yeterli finansal kaynağı ayırmış. 
@hasuder @HealthandEnv @kou92official https://t.co/8IG73tfBzY",">=40","male"
"44","İklim değişikliği, Birleşik Krallık’ta 12 milyon insan için sağlık riski oluşturuyor https://t.co/nYf3jq0TKp @thomsonreuters #ClimateAction #ClimateCrisis",">=40","male"
"45","@muratkgirgin Bu ""hak"" ların gelecekte herkese yeteceğinden emin değilim. Çok üredik. Yiyeceğin şuan için en azından herkese yetecek kadar olduğunu biliyorum. Ama iklim değişikliği, sistem kirizi, su krizi gibi katastrofiler kapıda görünüyor. Bu durumda eğitim, sağlık ve sudan emin değilim.","<=18","male"
"46","@mmertaydin İlginç. Yani aynı adamım aşı,tarım,teknoloji,sağlık,küresel iklim değişikliği gibi birçok konu da aktif olmasını garip bulmamak çok enteresan. Hayır aynı adam değil mi sattığı antivirüslerle sürekli pc leri virüslü tutan? Tam olarak hangi eylemi ile sizi bu kadar kendine+","<=18","male"
"47","","30-39","female"
"48","Gündeme uygun, iklim değişikliği, küresel ısınma ve kuraklık ve barajlardaki doluluk oranları... 
@dsi_gn_md ve @SuYonetimi @SUEN_gov güzel çalışma bence...
@ilkekbul kaleminize sağlık.
@recepnazli @tepge1996
@iktarimussu @ysrgcl @irfandonat 
@galipumutozdil https://t.co/BqECxOkWPc",">=40","male"
"49","“Dünya Sağlık Örgütü (WHO) 2019 senesinde küresel sağlık için iklim değişikliği ve hava kirliliği gibi başlıkların yanında aşı karşıtlığının da tehdit listesinin başlarında yer aldığını belirtti.” https://t.co/F7aXmnCy0D",">=40","male"
"50","@drservetunsal Bill Gates bile parasını uzay yerine aşıya harcamayı tercih ettiğini söylüyor.

Ama Türkiye aşı bile alamazken Asrın liderinin tercihi yine vatandaştan, sağlıktan yana değil.

Yapılan aşı sayısı hala diplerde.

Öncelikli sorunlar; iklim değişikliği ve halk sağlığıdır.",">=40","female"
"51","Bill Gates bile parasını uzay yerine aşıya harcamayı tercih ettiğini söylüyor.

Ama Türkiye aşı bile alamazken Asrın liderinin tercihi yine vatandaştan, sağlıktan yana değil.

Yapılan aşı sayısı hala diplerde.

Öncelikli sorunlar; iklim değişikliği ve halk sağlığıdır. https://t.co/pgLobbYzZk",">=40","male"
"52","İklim değişikliği alerjilerin seyrini de değiştirdi - Sağlık Haberleri https://t.co/OKopNV45zf via @cnnturk https://t.co/q07MkZC6ss",">=40","male"
"53","Lancet'in Geri Sayım Sağlık ve İklim Değişikliği raporu hazırlandı. Raporun baş yazarı:
Ülkelerin, Paris Anlaşması'nda öngörülen hedeflere ulaşmak için iklim taahhütlerini artırması halinde 2040'a kadar her yıl milyonlarca kişinin hayatı kurtulabilir. ifadelerine yer verdi. https://t.co/Bxl0Pz4cJE","30-39","male"
"54","@abdullahciftcib gelecekte en değerli iş, aşılarla,  ilaçlarla  insanları sağlıklı tutmak olacak demiş , artık nasıl bir hastalık çıkacaksa "" iklim değişikliği"" nedeni ile , bol bol aşı olacağız herhalde","<=18","male"
"55","@mild_mignonette Silikon Vadisi sakinleri, Dünya Sağlık Örgütü ve Papa, 2012 Dunya Ekonomik Forumunda ongorulenleri pandemi başlığıyla gerçekleştirdi. Şimdi sırada 2016 Dunya Ekonomik Forumunda sözü edilen iklim değişikliği başlığıyla dünya nüfusunun azaltılması var..
#Ajanda2030",">=40","male"
"56","Bağcılar’da sağlıklı yarınlar için İklim Değişikliği ve Sera Gazı Azaltım Çalıştayı https://t.co/apYd1fhrv4",">=40","male"
"57","Sağlıklı yarınlar için İklim Değişikliği ve Sera Gazı Azaltım Çalıştayı https://t.co/zZ1UfTBjbm",">=40","male"
"58","Sağlıklı yarınlar için İklim Değişikliği ve Sera Gazı Azaltım Çalıştayı https://t.co/nwUl4Infa0",">=40","male"
"59","İstanbul'da 'Sağlıklı Yarınlar İçin İklim Değişikliği ve Sera Gazı Azaltım Çalıştayı' düzenlendi 
https://t.co/9Ew2FQamfB",">=40","male"
"60","Bağcılar’da sağlıklı yarınlar için İklim Değişikliği ve Sera Gazı Azaltım Çalıştayı https://t.co/xz5mdfE2Mu","<=18","male"
"61","Bağcılar’da sağlıklı yarınlar için İklim Değişikliği ve Sera Gazı Azaltım Çalıştayı
Haberin devamı için tıklayın...
https://t.co/PFlxev4YQc",">=40","male"
"62","evin temel ihtiyaçlarının karşılanması gibi) daha fazla.

Aslında iklim değişikliği cinsiyet ayırt etmiyor. İçinde bulunduğumuz sistem bu sonuçları doğuruyor. Toplumsal cinsiyet eşitliği, kurduğumuz düzenin ayrılmaz bir parçası olmadıkça sağlıklı ve sürdürülebilir bir toplumdan","19-29","female"
"63","@muhdansaglam Birde iklim değişikliği nedeniyle eklenen sorunları da ilave ettiğimiz de tarım, gıda zincirindeki olası kuraklık ve verimsizlik sonucu açlık ve kıtlık daha vahim boyutlara ulaşır. 
İyi yazı kalemine sağlık...",">=40","male"
"64","Hayvansal gıdaların zararını duymaya başladınız. Et tüketiminin yol açacağı sağlık sorunları ve iklim değişikliği palavrasını da yedirecekler. Hayvan hakları yasası da tuzu, biberi olsun. Bonus o",">=40","male"
"65","Avrupa güvenliği

Hibrit tehditler, iklim değişikliği ve pandemiler dahil olmak üzere konvansiyonel olmayan tehditler konusunda artan farkındalığın bir sonucu olarak, güvenlik kavramı sağlık, ekonomi ve teknoloji politikasını içerecek şekilde genişletildi.
https://t.co/Oez0dFiRz7 https://t.co/sVAkY09r9n",">=40","male"
"66","Çin'in Kuşak ve Yolu: ABD için Çıkarımlar
Xi Jinping'in imza dış politika girişimi ve dünyanın en büyük altyapı programı, ABD'nin ekonomik, siyasi, iklim değişikliği, güvenliği ve küresel sağlık çıkarları için önemli bir tehdit oluşturmaktadır.""
https://t.co/FcdQ2Iea63",">=40","male"
"67","Çin’in Kuşak ve Yolu: ABD için Çıkarımlar

“Çin Devlet Başkanı Xi Jinping’in başlattığı dünyanın en büyük altyapı programı olan KvY, ABD’nin ekonomik, siyasi, iklim değişikliği, güvenlik ve küresel sağlık çıkarları açısından önemli bir zorluk oluşturuyor.” https://t.co/YvloC2wvOL",">=40","male"
"68","""Kuşak ve Yol Girişimi, Çin Devlet Başkanı Xi Jinping'in imzası olan dış politika girişimi ve dünyanın en büyük altyapı programı, ABD'nin ekonomik, siyasi, iklim değişikliği, güvenliği ve küresel sağlık çıkarları için önemli bir zorluk teşkil ediyor.""

https://t.co/DNkiXW4n12","19-29","female"
"69","Küresel ısınma ve iklim değişikliği dünyamızda temiz su kaynaklarını tehlikeye atıyor. Sağlıklı bir gelecek için suyumuzu israf etmeyelim.

Su varsa hayat var, geleceğimiz boşa akmasın. 💧💦

#DünyaSuGünü https://t.co/Hp57JHhz3s",">=40","male"
"70","Ormanlar iklim değişikliği ve yoksullukla mücadele ve #KüreselAmaçlar'a ulaşılmasında önemli rol oynar. Ekoloji, ekonomi, toplum ve sağlık yönünden yararlarına rağmen küresel ormansızlaşma endişe verici bir hızda devam ediyor. Ormanları korumak hepimizin görevi! 

#DünyaOrmanGünü https://t.co/rjNcak9f7Z","<=18","male"
"71","Sürdürülebilirlik ve iklim değişikliği ile mücadeleye, özetle karbonsuzlaşma ve sağlıklı bir geleceğe odaklanırken; iş hayatı ile birlikte sanatsal bakış açısını da korumamız çok önemli. Çok değerli ve keyifli bir dokunuş da @refikanadol'dan:
https://t.co/oSHuh1JBc9 https://t.co/5W200WymcF","30-39","male"
"72","🌞İklim değişikliği ve sağlık arasındaki bağlantıyı araştıran @LancetCountdown 2020 raporuna göre:

📌Son 20 yılda yaşlı nüfusun aşırı sıcaklara bağlı ölüm oranı yaklaşık yüzde 54 artış gösterdi.

https://t.co/M888DGKDG2","30-39","male"
"73","🌎İklim değişikliği ve sağlık arasındaki bağlantıyı araştıran @LancetCountdown 2020 raporunu yayımladı.

📌565 milyon insan deniz seviyesinin yükselmesiyle yerinden olabilir. Bu da yeni zorunlu göç hareketlerini tetikleyebilir.

✍️@selimvatandas
https://t.co/M888DGKDG2","30-39","male"
"74","Newton Prize 2020’nin mükemmel projelerini ödül töreniyle tebrik ediyoruz. Kısa listeye alınan projeler sağlık ve yaşam bilimleri, iklim değişikliği ve çevre gibi konuları kapsıyor. #newtonprize2020 #newtonfund + https://t.co/vG3DNZJYu2",">=40","male"
"75","Karşımdaki insanla her türlü konuda konuşup tartışabiliyorum, araba, siyaset, moda, global sorunlar, küresel ısınma, iklim değişikliği, sağlık, eğitim bilmem ne cart curt pasif kalmıyorum yani ama buna rağmen aşko kuşko bi kızla aldatılırsam kendimi intihar ederim",">=40","male"
"76","“Her politikada sağlık”, “Tek sağlık”, “Çoklu tehlike/risk yönetimi”, “Sosyal kanıta dayalı karar verme”, “Blockchain, IT, yapay zeka ve halk sağlığı”  gibi güncel konular iklim değişikliği etkisinde, sağlıklı bir gelecek oluşturmak için ele alınacak. @edekiraz
@SKongresi https://t.co/f4yNNhxzXz",">=40","male"
"77","""I. Uluslararası Sağlık ve İklim Değişikliği Kongresi, küresel risklerin hepsini beraberinde sürükleyen iklim değişikliğini, sağlıklı bir gelecek için en az hasarla atlatmanın çözümlerinin ele alınacağı bir kongre olacak.""
@edekiraz
@SKongresi https://t.co/wSROCtNLgc",">=40","male"
"78","III. Uluslararası Şehir, Çevre ve Sağlık Kongresi; “İklim Değişikliği ve Sağlıklı Bir Gelecek” temasıyla 16-20 Nisan 2021 tarihlerinde sanal ortamda gerçekleştirecek.

https://t.co/lx1Ehy3It0
--",">=40","male"
"79","Dünya iklim değişikliği ve bio çeşitliliğinin azalması nedeniyle büyük tehlike altında. Sağlıklı yaşam, gıda ve ülke ekonomilerinin devamlılığını sağlayan doğal kaynaklar hızla tükeniyor. Neler yapabileceğinizi öğrenmek için bizi takipte kalın. #COP26 #ClimateChange https://t.co/1pJNO8h9s1",">=40","male"
"80","Değerler ve duygular iş yaşamında geleceği nasıl şekillendirecek?
Tüm dünyada sorun olarak görülen iklim değişikliği, gelir eşitsizliği, sağlık hizmetlerine erişim gibi 17 ayrı konuda görüş veren ""tutkulu"" nesli dinleyin ➡️ https://t.co/RJMWPpH8OG",">=40","male"
"81","Biden ayrıca federal fonların iklim değişikliği ve sağlık gibi alanlara yöneleceği 2022 bütçesini de ele alacak ve Biden’in federal harcama planlarının ilk detayları da gün yüzüne çıkacak.",">=40","female"
"82","ABD Büyükelçisi Garber: ""Küresel sağlık ve iklim değişikliği önceliğimizdir"" https://t.co/Oi53z0IyAS @@yuksel_ercan aracılığıyla",">=40","male"
"83","#GÜNDEM ABD Büyükelçisi Garber: ”Küresel sağlık ve iklim değişikliği önceliğimizdir” https://t.co/UeVw9NDz6L","<=18","male"
"84","ABD Büyükelçisi Garber: “Küresel sağlık ve iklim değişikliği önceliğimizdir” https://t.co/ucpBhfRfrO","30-39","male"
"85","ABD Büyükelçisi Garber: “Küresel sağlık ve iklim değişikliği önceliğimizdir” https://t.co/3aQUxZzaIK",">=40","male"
"86","ABD Büyükelçisi Garber: “Küresel sağlık ve iklim değişikliği önceliğimizdir” https://t.co/G2zoZ5beTo","<=18","male"
"87","ABD Büyükelçisi Garber: “Küresel sağlık ve iklim değişikliği önceliğimizdir” https://t.co/So0263L4cu","<=18","male"
"88","ABD Lefkoşa Büyükelçisi Garber: Küresel sağlık güvenliği, ekonomik durgunluk ve iklim değişikliği en önemli önceliklerimiz arasında. https://t.co/nuijpC5Kkx https://t.co/fuRlXsTBkr","<=18","male"
"89","ABD Lefkoşa Büyükelçisi Garber: Küresel sağlık 

- ekonomik durgunluk ve İKLİM değişikliği en önemli önceliklerimiz arasında’ 

https://t.co/6L4SC72lI0",">=40","male"
"90","Tek Sağlık eğitiminin Tıp Fak.müfredatına entegrasyonu,geleceğin hekimlerini iklim değişikliği, antimikrobiyal direnç ve biyolojik çeşitlilik kaybının etkisi gibi farklı karmaşık ve acil önem taşıyan sağlık sorunlarına hazırlayacaktır. https://t.co/0XRRmyA4ak",">=40","male"
"91","Dünyanın gündemi:
iklim değişikliği
küresel korona salgını ve aşı 
ekonomi
daha müreffeh bir dünya modeli
eğitim sağlık ve milli savunma
Çevre ve doğa
Temel insan hakları
Bizim gündemimizi meşgul eden kavram: Toz şeker
Tüm suç havuçtadır.
Havuç olmayaydı şeker de olmazdı. https://t.co/oIoU6pSSRP","<=18","male"
"92","#Sağlık Denizlerde istilacı tür tehlikesi: Balıkçılıkta verimi düşürecek: Küresel ısınmaya bağlı iklim değişikliği… https://t.co/mBr4eO6h6n",">=40","male"
"93","Bilimin politikacılara efektif şekilde ulaştırılma ihtiyacı her geçen gün daha belirginleşiyor. Özellikle su, sağlık ve gıda krizleri iklim değişikliği ile entegre biçimde ele alıp raporlanmalı.
🗞️ @nature
https://t.co/8A195jrl1G https://t.co/rVAG8dTPHH",">=40","male"
"94","🔴 soL TV'de Ekoloji, Sağlık ve Toplum programında ""İklim değişikliği nedir? Sorunun üretim biçimindeki kökenlerini kavramak mücadele ekseninin doğru tanımlanmasında neden bu derece önemli? Bugünün ve yarının zararları hakkında temel doğrular neler? Me... https://t.co/vqepMkCejr",">=40","male"
"95","soL TV: Ekoloji, Sağlık ve Toplum: Bir mücadele alanı olarak iklim değişikliği gerçekliği

https://t.co/wqtoa1fz0F https://t.co/9LRczgKwar","<=18","male"
"96","Bilimsel tabanlı azaltım hedefi onaylanan Türkiye'den İLK şirket ve Dünya'da 600 şirketten biri olarak. Büyük bir kısmı ulaşımdan kaynaklanan, iklim değişikliği ve küresel ısınmaya sebep olan sera gazlarını azaltma hedefimiz ile dünyanın sağlığı için çabalıyoruz. #dunyasağlıkgünü https://t.co/0cZYGbQ2lf",">=40","male"
"97","#sürdürülebilirlik şemsiyesi altında, karbon vergisi, yeşil anlaşma , döngüsel ekonomi, yeşil mutabakat, yenilenebilir enerji, karbon nötr, iklim  değişikliği ve daha bir çok konu...

Emeklerinize sağlık #yesilis 

#karbonayakizi #temizenerji #karbonsuzlasma #Sustainability https://t.co/bD4idv90bF","30-39","female"
"98","🔴 soL TV'de bugün saat 19.00'da Ekoloji Sağlık ve Toplum, saat 20.00'de soL Bilim ve Aydınlanma ve saat 21.00'de Kemal Okuyan’la Gündem programları yayınlanacak. 19:00 Ekoloji Sağlık ve Toplum  Bir Mücadele Alanı Olarak İklim Değişikliği Gerçekliği İk... https://t.co/jM6QWENpn5",">=40","male"
"99","#DünyaSağlıkGünü, 1948’den bu yana akıl sağlığı, iklim değişikliği, anne ve çocuk sağlığı gibi birçok konuya farkındalık yaratıyor.
Covid-19, ulaşılabilir sağlık hizmetlerinin önemini tekrar vurguladı. 2021’de hedef herkes için daha adil, daha sağlıklı bir dünya inşa etmek. https://t.co/QdxPQIDzwi",">=40","male"
"100","4⃣ Son birkaç yılda biz de ülkemizde sel, heyelan ve hortum gibi şiddeti sürekli artan afetler yaşadık. Bu da bizlere gösteriyor ki iklim değişikliği; tüm sektörlerimizi derinden etkileyen bir kalkınma, sağlık, tarım, hayvancılık, su, enerji ve ulaşım meselesidir.",">=40","male"
