"","age","gender"
"466",">=40","male"
"467",">=40","male"
"468",">=40","male"
"469","<=18","male"
"470",">=40","male"
"471",">=40","male"
"472",">=40","male"
"473",">=40","male"
"474",">=40","male"
"475",">=40","male"
"476","30-39","male"
"477",">=40","male"
"478",">=40","male"
"479",">=40","male"
"480",">=40","male"
"481",">=40","male"
"482",">=40","female"
"483",">=40","male"
"484","<=18","male"
"485",">=40","male"
"486",">=40","male"
"487",">=40","male"
"488","<=18","male"
"489",">=40","male"
"490",">=40","male"
"491","30-39","male"
"492",">=40","male"
"493",">=40","male"
"494","30-39","male"
"495",">=40","male"
"496",">=40","male"
"497",">=40","male"
"498",">=40","male"
"499",">=40","female"
"500",">=40","male"
"501",">=40","male"
"502",">=40","male"
"503","30-39","male"
"504",">=40","male"
"505",">=40","male"
"506",">=40","male"
"507",">=40","male"
"508",">=40","male"
"509",">=40","male"
"510",">=40","male"
"511","30-39","male"
"512","<=18","male"
"513","19-29","female"
"514",">=40","male"
"515",">=40","female"
"516",">=40","male"
"517",">=40","male"
"518",">=40","male"
"519",">=40","male"
"520",">=40","male"
"521",">=40","male"
"522",">=40","male"
"523",">=40","male"
"524","19-29","male"
"525",">=40","male"
"526","30-39","male"
"527",">=40","male"
"528","<=18","male"
"529",">=40","male"
"530",">=40","male"
"531",">=40","male"
"532",">=40","male"
"533","<=18","male"
"534","<=18","male"
"535",">=40","male"
"536","<=18","male"
"537",">=40","female"
"538",">=40","male"
"539","30-39","male"
"540",">=40","male"
"541",">=40","male"
"542",">=40","female"
"543",">=40","male"
"544",">=40","male"
"545",">=40","male"
"546",">=40","male"
"547",">=40","male"
"548",">=40","male"
"549",">=40","male"
"550","<=18","male"
"551",">=40","male"
"552",">=40","male"
"553",">=40","male"
"554","<=18","female"
"555",">=40","male"
"556",">=40","male"
"557",">=40","male"
"558",">=40","male"
"559",">=40","male"
"560","<=18","male"
"561",">=40","female"
"562","30-39","male"
"563",">=40","male"
"564",">=40","male"
"565",">=40","male"
"566",">=40","male"
"567",">=40","male"
"568",">=40","male"
"569","30-39","male"
"570",">=40","male"
"571",">=40","male"
"572",">=40","male"
"573",">=40","male"
"574",">=40","male"
"575",">=40","male"
"576",">=40","male"
"577","<=18","male"
"578",">=40","male"
"579",">=40","male"
"580",">=40","female"
"581",">=40","male"
"582",">=40","female"
"583","30-39","male"
"584",">=40","male"
"585",">=40","male"
"586",">=40","female"
"587",">=40","male"
"588",">=40","male"
"589","<=18","male"
"590",">=40","male"
"591","30-39","male"
"592",">=40","male"
"593",">=40","male"
"594",">=40","female"
"595",">=40","female"
"596","19-29","female"
"597",">=40","male"
"598",">=40","male"
"599",">=40","male"
"600",">=40","male"
"601",">=40","female"
"602",">=40","male"
"603",">=40","male"
"604",">=40","male"
"605",">=40","male"
"606",">=40","male"
"607",">=40","female"
"608",">=40","female"
"609",">=40","male"
"610","<=18","male"
"611",">=40","male"
"612",">=40","male"
"613",">=40","male"
"614",">=40","male"
"615",">=40","male"
"616",">=40","male"
"617",">=40","male"
"618","30-39","male"
"619",">=40","male"
"620","30-39","male"
"621",">=40","male"
"622",">=40","male"
"623",">=40","male"
"624",">=40","male"
"625",">=40","male"
"626",">=40","male"
"627",">=40","male"
"628",">=40","male"
"629","<=18","female"
"630",">=40","male"
"631",">=40","male"
"632","30-39","male"
"633",">=40","male"
"634",">=40","male"
"635",">=40","male"
"636",">=40","male"
"637",">=40","male"
"638",">=40","male"
"639",">=40","male"
"640","<=18","male"
"641","30-39","male"
"642",">=40","male"
"643",">=40","male"
"644",">=40","male"
"645",">=40","male"
"646",">=40","male"
"647",">=40","male"
"648","30-39","male"
"649","30-39","male"
"650",">=40","female"
"651",">=40","male"
"652",">=40","male"
"653",">=40","male"
"654",">=40","male"
"655","<=18","male"
"656","30-39","male"
"657",">=40","male"
"658",">=40","female"
"659",">=40","female"
"660",">=40","male"
"661",">=40","male"
"662",">=40","male"
"663",">=40","male"
"664","19-29","male"
"665",">=40","male"
"666","<=18","male"
"667",">=40","male"
"668","<=18","male"
"669","<=18","male"
"670",">=40","male"
"671",">=40","male"
"672",">=40","male"
"673",">=40","male"
"674",">=40","male"
"675",">=40","female"
"676",">=40","female"
"677","30-39","male"
"678",">=40","male"
"679",">=40","male"
"680",">=40","male"
"681","30-39","male"
"682",">=40","male"
"683",">=40","male"
"684",">=40","male"
"685",">=40","male"
"686",">=40","male"
"687","<=18","male"
"688",">=40","male"
"689",">=40","female"
"690","19-29","male"
"691",">=40","female"
"692",">=40","male"
"693","19-29","male"
"694",">=40","male"
"695",">=40","male"
"696",">=40","male"
"697",">=40","male"
"698",">=40","male"
"699",">=40","male"
"700",">=40","male"
"701",">=40","male"
"702",">=40","female"
"703",">=40","male"
"704","<=18","male"
"705",">=40","male"
"706","19-29","male"
"707","30-39","male"
"708",">=40","male"
"709",">=40","male"
